IATA,ICAO,Name,
"AAA","NTGA","Anaa Airport",
"AAB","YARY","Arrabury Airport",
"AAC","HEAR","El Arish International Airport",
"AAE","DABB","Rabah Bitat Airport",
"AAF","KAAF","Apalachicola Regional Airport",
"AAG","SSYA","Arapoti Airport",
"AAH","EDKA","Merzbr??ck Airport",
"AAI","SWRA","Arraias Airport",
"AAJ","SMCA","Cayana Airstrip",
"AAK","NGUK","Aranuka Airport",
"AAL","EKYT","Aalborg Airport",
"AAM","FAMD","Mala Mala Airport",
"AAN","OMAL","Al Ain International Airport",
"AAO","SVAN","Anaco Airport",
"AAQ","URKA","Anapa Airport",
"AAR","EKAH","Aarhus Airport",
"AAT","ZWAT","Altay Airport",
"AAU","NSAU","Asau Airport",
"AAV","RPMA","Allah Valley Airport",
"AAX","SBAX","Arax?! Airport",
"AAY","OYGD","Al Ghaydah Airport",
"AAZ","MGQZ","Quetzaltenango Airport",
"ABA","UNAA","Abakan International Airport",
"ABB","DNAS","Asaba International Airport",
"ABC","LEAB","Albacete Airport",
"ABD","OIAA","Abadan International Airport",
"ABE","KABE","Lehigh Valley International Airport",
"ABF","NGAB","Abaiang Atoll Airport",
"ABG","YABI","Abingdon Airport",
"ABH","YAPH","Alpha Airport",
"ABI","KABI","Abilene Regional Airport",
"ABJ","DIAP","Port Bouet Airport",
"ABK","HAKD","Kabri Dar Airport",
"ABL","PAFM","Ambler Airport",
"ABM","YNPE","Northern Peninsula Airport",
"ABN","SMBN","Albina Airstrip",
"ABO","DIAO","Aboisso Airport",
"ABQ","KABQ","Albuquerque International Sunport",
"ABR","KABR","Aberdeen Regional Airport",
"ABS","HEBL","Abu Simbel Airport",
"ABT","OEBA","Al-Baha Domestic Airport",
"ABU","WATA","Haliwen Airport",
"ABV","DNAA","Nnamdi Azikiwe International Airport",
"ABX","YMAY","Albury Airport",
"ABY","KABY","Southwest Georgia Regional Airport",
"ABZ","EGPD","Aberdeen Airport",
"ACA","MMAA","General Juan N. ?lvarez International Airport",
"ACB","KACB","Antrim County Airport",
"ACC","DGAA","Kotoka International Airport",
"ACD","SKAD","Alcides Fern?!ndez Airport",
"ACE","GCRR","Lanzarote Airport",
"ACH","LSZR","St. Gallen??""Altenrhein Airport",
"ACI","EGJA","Alderney Airport",
"ACJ","VCCA","Anuradhapura Airport",
"ACK","KACK","Nantucket Memorial Airport",
"ACN","MMCC","Ciudad Acu??a International Airport",
"ACP","OITM","Sahand Airport",
"ACR","SKAC","Araracuara Airport",
"ACS","UNKS","Achinsk Airport",
"ACT","KACT","Waco Regional Airport",
"ACV","KACV","Arcata-Eureka Airport",
"ACX","ZUYI","Xingyi Wanfenglin Airport",
"ACY","KACY","Atlantic City International Airport",
"ACZ","OIZB","Zabol Airport",
"ADA","LTAF","Adana ??akirpa??a Airport",
"ADB","LTBJ","Adnan Menderes Airport",
"ADC","AYAN","Andakombe Airport",
"ADD","HAAB","Bole International Airport",
"ADE","OYAA","Aden International Airport",
"ADF","LTCP","Ad??yaman Airport",
"ADG","KADG","Lenawee County Airport",
"ADH","UEEA","Aldan Airport",
"ADI","FYAR","Arandis Airport",
"ADJ","OJAM","Amman Civil Airport"" || ""Amman",
"ADK","PADK","Adak Airport",
"ADL","YPAD","Adelaide Airport",
"ADM","KADM","Ardmore Municipal Airport",
"ADN","SKAN","Andes Airport",
"ADO","YAMK","Andamooka Airport",
"ADP","VCCG","Ampara Airport",
"ADQ","PADQ","Kodiak Airport",
"ADR","KPHH","Robert F. Swinnie Airport",
"ADS","KADS","Addison Airport",
"ADT","KADH","Ada Municipal Airport",
"ADU","OITL","Ardabil Airport",
"ADW","KADW","Andrews Field",
"ADX","EGQL","RAF Leuchars",
"ADY","FAAL","Alldays Airport",
"ADZ","SKSP","Gustavo Rojas Pinilla International Airport",
"AEA","NGTB","Abemama Atoll Airport",
"AEB","ZGBS","Baise Bama Airport",
"AEG","WIME","Aek Godang Airport",
"AEH","FTTC","Ab??ch?? Airport",
"AEK","AYAX","Aseki Airport",
"AEL","KAEL","Albert Lea Municipal Airport",
"AEM","UHTG","Amgu Airport",
"AEO","GQNA","Aioun el Atrouss Airport",
"AEP","SABE","Jorge Newbery Airpark",
"AEQ",,"Ar Horqin Airport",
"AER","URSS","Sochi International Airport",
"AES","ENAL","??lesund Airport, Vigra",
"AET","PFAL","Allakaket Airport",
"AEU","OIBA","Abu Musa Airport",
"AEX","KAEX","Alexandria International Airport |Alexandria International Airport",
"AEY","BIAR","Akureyri Airport",
"AFA","SAMR","San Rafael Airport |San Rafael Airport",
"AFD","FAPA","Port Alfred Airport",
"AFF","KAFF","United States Air Force Academy"" Airfield, ""Colorado Springs, Colorado|Colorado Springs",
"AFI","SKAM","Amalfi Airport |Amalfi Airport",
"AFL","SBAT","Alta Floresta Airport",
"AFN","KAFN","Jaffrey Airport??""Silver Ranch",
"AFO","KAFO","Afton Municipal Airport",
"AFR","AYAF","Afore Airport",
"AFS","UTSN","Zarafshan Airport",
"AFT","AGAF","Afutara Airport",
"AFW","KAFW","Fort Worth Alliance Airport",
"AFY","LTAH","Afyon Airport",
"AFZ","OIMS","Sabzevar Airport",
"AGA","GMAD","Agadir??""Al Massira Airport",
"AGB","EDMA","Augsburg Airport",
"AGC","KAGC","Allegheny County Airport",
"AGD","WASG","Anggi Airport",
"AGE","EDWG","Wangerooge Airfield",
"AGF","LFBA","Agen La Garenne Airport",
"AGH","ESTA","?""ngelholm??""Helsingborg Airport",
"AGI","SMWA","Wageningen Airstrip",
"AGJ","RORA","Aguni Airport",
"AGL","AYWG","Wanigela Airport",
"AGN","PAGN","Angoon Seaplane Base",
"AGO","KAGO","Magnolia Municipal Airport",
"AGP","LEMG","M?!laga Airport",
"AGQ","LGAG","Agrinion Airport",
"AGR","VIAG","Agra Airport",
"AGS","KAGS","Augusta Regional Airport"" at Bush Field, ""Augusta, Georgia|Augusta",
"AGT","SGES","Guaran?? International Airport",
"AGU","MMAS","Lic. Jes??s Ter?!n Peredo International Airport",
"AGV","SVAC","Oswaldo Guevara Mujica Airport",
"AGX","VOAT","Agatti Aerodrome",
"AGZ","FAAG","Aggeneys Airport",
"AHB","OEAB","Abha Regional Airport",
"AHC","KAHC","Amedee Army Airfield",
"AHE","NTHE","Ahe Airport",
"AHH","KAHH","Amery Municipal Airport",
"AHI","WAPA","Amahai Airport",
"AHJ","ZUHY","Hongyuan Airport",
"AHL","SYAH","Aishalton Airport",
"AHN","KAHN","Athens Ben Epps Airport",
"AHO","LIEA","Alghero-Fertilia Airport",
"AHS","MHAH","Ahuas Airport",
"AHU","GMTA","Cherif Al Idrissi Airport",
"AHZ","LFHU","Alpe d'Huez Airport",
"AIA","KAIA","Alliance Municipal Airport",
"AID","KAID","Anderson Municipal Airport",
"AIE","AYAO","Aiome Airport",
"AIF","SNAX","Assis Airport"" |S??o Paulo",
"AIG","FEFY","Yalinga Airport",
"AIH","AYAK","Aiambak Airport",
"AII","HDAS","Ali-Sabieh Airport",
"AIK","KAIK","Aiken Municipal Airport",
"AIN","PAWI","Wainwright Airport , ""Fort Wainwright",
"AIO","KAIO","Atlantic Municipal Airport",
"AIR","SSOU","Aripuan?? Airport",
"AIS","NGTR","Arorae Island Airport",
"AIT","NCAI","Aitutaki Airport",
"AIU","NCAT","Enua Airport",
"AIV","KAIV","George Downer Airport",
"AIZ","KAIZ","Lee C. Fine Memorial Airport",
"AJA","LFKJ","Ajaccio Napoleon Bonaparte Airport",
"AJF","OESK","Al-Jawf Domestic Airport",
"AJI","LTCO","A??r?? Airport",
"AJJ","GQNJ","Akjoujt Airport",
"AJK","OIHR","Arak Airport",
"AJL","VELP","Lengpui Airport",
"AJN","FMCV","Ouani Airport",
"AJR","ESNX","Arvidsjaur Airport",
"AJU","SBAR","Santa Maria Airport |Santa Maria Airport",
"AJY","DRZA","Mano Dayak International Airport",
"AKA","ZLAK","Ankang Wulipu Airport",
"AKB","PAAK","Atka Airport",
"AKC","KAKR","Akron Fulton International Airport",
"AKD","VAAK","Akola Airport",
"AKE","FOGA","Akieni Airport",
"AKF","HLKF","Kufra Airport",
"AKG","AYGU","Anguganak Airport",
"AKH","OEPS","Prince Sultan Air Base",
"AKI","PFAK","Akiak Airport",
"AKJ","RJEC","Asahikawa Airport",
"AKK","PAKH","Akhiok Airport",
"AKL","NZAA","Auckland Airport",
"AKN","PAKN","King Salmon Airport",
"AKO","KAKO","Colorado Plains Regional Airport",
"AKP","PAKP","Anaktuvuk Pass Airport",
"AKQ","WIAG","Gunung Batin Airport",
"AKR","DNAK","Akure Airport",
"AKS","AGGA","Auki Gwaunaru'u Airport",
"AKT","LCRA","RAF Akrotiri",
"AKU","ZWAK","Aksu Airport",
"AKV","CYKO","Akulivik Airport",
"AKW","OIAG","Aghajari Airport",
"AKX","UATT","Aktobe Airport",
"AKY","VYSW","Sittwe Airport",
"ALA","UAAA","Almaty International Airport",
"ALB","KALB","Albany International Airport",
"ALC","LEAL","Alicante??""Elche Airport",
"ALD","SPAR","Alerta Airport",
"ALF","ENAT","Alta Airport",
"ALG","DAAG","Houari Boumediene Airport",
"ALH","YABA","Albany Airport |Albany Airport",
"ALI","KALI","Alice International Airport",
"ALJ","FAAB","Alexander Bay Airport",
"ALL","LIMG","Albenga Airport",
"ALM","KALM","Alamogordo??""White Sands Regional Airport",
"ALN","KALN","St. Louis Regional Airport",
"ALO","KALO","Waterloo Regional Airport",
"ALP","OSAP","Aleppo International Airport",
"ALQ","SSLT","Alegrete Airport",
"ALR","NZLX","Alexandra Aerodrome",
"ALS","KALS","San Luis Valley Regional Airport",
"ALU","HCMA","Alula Airport",
"ALW","KALW","Walla Walla Regional Airport",
"ALX","KALX","Thomas C. Russell Field",
"ALY","HEAX","El Nouzha Airport",
"AMA","KAMA","Rick Husband Amarillo International Airport",
"AMB","FMNE","Ambilobe Airport",
"AMC","FTTN","Am Timan Airport",
"AMD","VAAH","Sardar Vallabhbhai Patel International Airport",
"AMF","AYAA","Ama Airport",
"AMH","HAAM","Arba Minch Airport",
"AMJ","SNAR","Almenara Airport",
"AMM","OJAI","Queen Alia International Airport",
"AMN","KAMN","Gratiot Community Airport",
"AMO","FTTU","Mao Airport",
"AMP","FMSY","Ampanihy Airport",
"AMQ","WAPP","Pattimura Airport",
"AMS","EHAM","Amsterdam Airport Schiphol",
"AMT","YAMT","Amata Airport",
"AMU","AYAM","Amanab Airport",
"AMV","ULDD","Amderma Airport",
"AMW","KAMW","Ames Municipal Airport",
"AMZ","NZAR","Ardmore Airport |Ardmore Airport",
"ANB","KANB","Anniston Regional Airport",
"ANC","PANC","Ted Stevens Anchorage International Airport",
"AND","KAND","Anderson Regional Airport",
"ANE","LFJR","Angers ??"" Loire Airport",
"ANF","SCFA","Cerro Moreno International Airport",
"ANG","LFBU","Angoul??me ??"" Cognac International Airport",
"ANI","PANI","Aniak Airport",
"ANJ","FCBZ","Zanaga Airport",
"ANK","LTAD","Etimesgut Air Base",
"ANM","FMNH","Antsirabato Airport",
"ANN","PANT","Annette Island Airport",
"ANO","FQAG","Angoche Airport",
"ANP","KANP","Lee Airport",
