A                   Amber
AA[A-Z]             (or AAB, AAC... etc., in sequence)Amended meteorological message
A/A                 Air-to-air
AAD                 Assigned altitude deviation
AAIM                Aircraft autonomous integrity monitoring
AAL                 Above aerodrome level
ABI                 Advance boundary information
ABM                 Abeam
ABN                 Aerodrome beacon
ABT                 About
ABV                 Above
AC                  Altocumulus
ACARS†              Aircraft communication addressing and reporting system
ACAS†               Airborne collision avoidance system
ACC‡                Area control centre or area control
ACCID               Notification of an aircraft accident
ACFT                Aircraft
ACK                 Acknowledge
ACL                 Altimeter check location
ACN                 Aircraft classification number
ACP                 Acceptance (message type designator)
ACPT                Accept or accepted
ACT                 Active or activated or activity
AD                  Aerodrome
ADA                 Advisory area
ADC                 Aerodrome chart
ADDN                Addition or additional
ADF‡                Automatic direction-finding  equipment
ADIZ†               Air defence identification zone
ADJ                 Adjacent
ADO                 Aerodrome office (specify service)


ALERFA†             Alert phase
ALR                 Alerting (message type designator)
ALRS                Alerting service
ALS                 Approach lighting system
ALT                 Altitude
ALTN                Alternate or alternating (light alternates in colour)
ALTN                Alternate (aerodrome)
AMA                 Area minimum altitude
AMD                 Amend or amended (used to indicate amended meteorological message; message type designator)
AMDT                Amendment (AIP Amendment)
AMS                 Aeronautical mobile service
AMSL                Above mean sea level
AMSS                Aeronautical mobile satellite service
ANC...           Aeronautical chart — 1:500 000 (followed by name/title)
ANCS...          Aeronautical navigation chart — small scale (followed by name/title and scale)
ANS                 Answer
AOC...           Aerodrome obstacle chart (followed by type and name/title)
AP                  Airport (to be pronounced “AY-PAPI”)
APAPI†              Abbreviated precision approach path indicator
APCH                Approach
APDC...          Aircraft parking/docking chart (followed by name/title)
APN                 Apron
APP                 Approach control office or approach control or approach control service
APR                 April
APRX                Approximate or approximately
APSG                After passing
APV                 Approve or approved or approval
ARC                 Area chart
ARNG                Arrange
ARO                 Air traffic services reporting office
ARP                 Aerodrome reference point
ARP                 Air-report (message type designator)
ARQ                 Automatic error correction
ARR                 Arrival (message type designator)
ARR                 Arrive or arrival

ARS                 Special air-report (message type designator)
ARST                Arresting (specify (part of) aircraft arresting equipment)
AS                  Altostratus
ASC                 Ascend to or ascending to 
ASDA                Accelerate-stop distance available
ASE                 Altimetry system error
ASHTAM              Special series NOTAM notifying, by means of a specific format, change in activity of a volcano, a volcanic eruption and/or volcanic ash cloud that is of significance to aircraft operations
ASPH                Asphalt
AT...            At (followed by time at which weather change is forecast to occur)
ATA‡                Actual time of arrival
ATC‡                Air traffic control (in general)
ATCSMAC. . .        Air traffic control surveillance minimum altitude chart (followed by name/title)
ATD‡                Actual time of departure
ATFM                Air traffic flow management
ATIS†               Automatic terminal information service
ATM                 Air traffic management
ATN                 Aeronautical telecommunication network
ATP...           At . . . (time or place)
ATS                 Air traffic services
ATTN                Attention (to be pronounced “AY-TEE-VASIS”)
AT-VASIS†           Abbreviated T visual approach slope indicator system
ATZ                 Aerodrome traffic zone
AUG                 August
AUTH                Authorized or authorization
AUW                 All up weight
AUX                 Auxiliary
AVBL                Available or availability
AVG                 Average
AVGAS†              Aviation gasoline
AWTA                Advise at what time able
AWY                 Airway
AZM                 Azimuth



B                   Blue
BA                  Braking action (to be pronounced “BAA-RO-VEENAV”) 
BARO-VNAV†          Barometric vertical navigation
BASE†               Cloud base
BCFG                Fog patches
BCN                 Beacon (aeronautical ground light)
BCST                Broadcast
BDRY                Boundary
BECMG               Becoming
BFR                 Before
BKN                 Broken
BL...            Blowing (followed by DU = dust, SA = sand or SN = snow)
BLDG                Building
BLO                 Below clouds
BLW...           Below . . .
BOMB                Bombing
BR                  Mist
