"AGGG", "Honiara ACC",  "Solomon Islands"
"ANAU", "Nauru ACC",  "Nauru"
"AYPM", "Port Moresby ACC",  "Papua New Guinea"
"BGGL", "Nuuk ACC",  "Greenland"
"BIRD", "Reykjavik ACC",  "Iceland"
"CZEG", "Edmonton ACC",  "Canada"
"CZQM", "Moncton Southern ACC",  "Canada"
"CZQX", "Gander Domestic ACC",  "Canada"
"CZUL", "Montreal ACC",  "Canada"
"CZVR", "Vancouver ACC",  "Canada"
"CZWG", "Winnipeg ACC",  "Canada"
"CZYZ", "Toronto ACC",  "Canada"
"DAAA", "Alger ACC",  "Algeria"
"DGAC", "Accra ACC",  "Ghana"
"DIII", "Abidjan ACC",  "Ivory Coast"
"DNKK", "Kano ACC",  "Nigeria"
"DRRR", "Niamey ACC",  "Niger"
"DTTC", "Tunis ACC",  "Tunisia"
"EZZZ", "Eurocontrol",  "Belgium"
"EBBU", "Brussels ACC",  "Belgium"
"EDBB", "Berlin ACC",  "Germany"
"EDGG", "Langen ACC",  "Germany"
"EDLL", "Düsseldorf ACC",  "Germany"
"EDMM", "Munich ACC",  "Germany"
"EDUU", "Rhein ACC",  "Germany"
"EDVV", "Hannover ACC",  "Germany"
"EDWW", "Bremen ACC",  "Germany"
"EDYY", "Maastricht ACC",  "Germany"
"EETT", "Tallinn ACC",  "Estonia"
"EFIN", "Finland ACC",  "Finland"
"EGGX", "Shanwick Oceanic OCA",  "UK"
"EGPX", "Scottish ACC",  "UK"
"EGQQ", "Scottish ACC (Mil)",  "UK"
"EGTT", "London ACC",  "UK"
"EHAA", "Amsterdam ACC",  "Netherlands"
"EISN", "Shannon ACC",  "Ireland"
"EKDK", "Copenhagen ACC",  "Denmark"
"ENOB", "Bodo Oceanic OCA",  "Norway"
"ENOR", "Norway ACC",  "Norway"
"EPWW", "Warszawa ACC",  "Poland"
"ESAA", "Sweden ACC",  "Sweden"
"ESMM", "Malmo ACC",  "Sweden"
"ESOS", "Stockholm ACC",  "Sweden"
"EVRR", "Riga ACC",  "Latvia"
"EYVL", "Vilnius ACC",  "Lithuania"
"FABL", "Bloemfontein ACC",  "South Africa"
"FACA", "Capetown ACC",  "South Africa"
